field,n,naive_f1,nr_f1,acal_f1,n_emit_gold,n_emit_pred,n_nr_gold,span_iou,n_iou_evaluable,num_match,unit_accuracy,n_num_evaluable,n_unit_evaluable,ae_consistency
size,40,0.744186046511628,0.896551724137931,0.8203688853247795,17.0,26.0,15.0,0.3911954861930696,24.0,0.6666666666666666,1.0,24.0,24.0,1.0
zeta_potential,40,0.7058823529411764,0.9206349206349206,0.8132586367880486,11.0,6.0,29.0,0.6540082846003898,6.0,1.0,1.0,6.0,6.0,1.0
stability,40,0.0,0.888888888888889,0.4444444444444445,8.0,0.0,32.0,,0.0,,,0.0,0.0,
payload,40,0.0,0.04878048780487806,0.02439024390243903,39.0,0.0,1.0,,0.0,,,0.0,0.0,
loading_efficiency,40,0.3809523809523809,0.8070175438596492,0.5939849624060151,15.0,6.0,23.0,0.641639079874374,6.0,1.0,1.0,4.0,4.0,1.0
release_profile,40,0.0,0.5185185185185185,0.25925925925925924,26.0,0.0,14.0,,0.0,,,0.0,0.0,
MACRO,40,0.3051701300675309,0.6800653473074644,0.49261773868749764,,,,0.5622809502226112,,0.8888888888888888,1.0,,,1.0
