field,n,naive_f1,nr_f1,acal_f1,n_emit_gold,n_emit_pred,n_nr_gold,span_iou,n_iou_evaluable,num_match,unit_accuracy,n_num_evaluable,n_unit_evaluable,ae_consistency
size,40,0.9583333333333334,0.967741935483871,0.9630376344086022,24.0,24.0,15.0,0.6654522484314348,24.0,1.0,1.0,23.0,23.0,1.0
zeta_potential,40,0.9166666666666666,0.9642857142857143,0.9404761904761905,11.0,13.0,29.0,0.6925126694145832,11.0,1.0,1.0,11.0,11.0,1.0
stability,40,0.4545454545454545,0.8070175438596492,0.6307814992025518,7.0,15.0,32.0,0.7358712121212121,6.0,1.0,1.0,4.0,4.0,1.0
payload,40,0.7419354838709677,0.16666666666666669,0.45430107526881724,33.0,29.0,1.0,0.6444754355342779,29.0,,,0.0,0.0,1.0
loading_efficiency,40,0.7586206896551724,0.9166666666666666,0.8376436781609196,14.0,15.0,23.0,0.5767077707489198,14.0,1.0,1.0,11.0,11.0,1.0
release_profile,40,0.5142857142857143,0.8235294117647058,0.6689075630252102,15.0,20.0,14.0,0.6310529956332386,20.0,,,0.0,0.0,1.0
MACRO,40,0.7240645570595515,0.7743179897878788,0.7491912734237153,,,,0.6576787219806111,,1.0,1.0,,,1.0
