field,n,naive_f1,nr_f1,acal_f1,n_emit_gold,n_emit_pred,n_nr_gold,span_iou,n_iou_evaluable,num_match,unit_accuracy,n_num_evaluable,n_unit_evaluable,ae_consistency
size,40,0.9387755102040817,0.9333333333333333,0.9360544217687075,24.0,25.0,15.0,0.6654522484314348,24.0,1.0,1.0,23.0,23.0,0.96
zeta_potential,40,0.88,0.9454545454545454,0.9127272727272727,11.0,14.0,29.0,0.6925126694145832,11.0,1.0,1.0,11.0,11.0,0.9285714285714286
stability,40,0.4545454545454545,0.8070175438596492,0.6307814992025518,7.0,15.0,32.0,0.7358712121212121,6.0,1.0,1.0,4.0,4.0,1.0
payload,40,0.8,0.25,0.525,32.0,33.0,1.0,0.6335097453493341,33.0,,,0.0,0.0,0.8787878787878788
loading_efficiency,40,0.7586206896551724,0.9166666666666666,0.8376436781609196,14.0,15.0,23.0,0.5767077707489198,14.0,1.0,1.0,11.0,11.0,1.0
release_profile,40,0.5142857142857143,0.9032258064516129,0.7087557603686636,12.0,23.0,14.0,0.6237835413533178,23.0,,,0.0,0.0,0.8695652173913043
MACRO,40,0.7243712281150705,0.7926163159609678,0.7584937720380193,,,,0.654639531236467,,1.0,1.0,,,0.9394874207917687
